"# Sensor Name: internal_sensor, Pin: 9, InfluxDB Org: thz_lab, InfluxDB Bucket: sensor_data"
date,time,temperature,humidity
2025-06-05,00:00:25,21.2,57.8
2025-06-05,00:00:57,21.2,57.9
2025-06-05,00:01:25,21.2,57.8
2025-06-05,00:01:55,21.2,57.8
2025-06-05,00:02:25,21.2,57.9
2025-06-05,00:02:55,21.2,57.9
2025-06-05,00:03:25,21.2,57.8
2025-06-05,00:03:55,21.2,57.9
2025-06-05,00:04:25,21.2,57.9
2025-06-05,00:04:55,21.2,57.8
2025-06-05,00:05:25,21.2,57.9
2025-06-05,00:05:55,21.2,57.9
2025-06-05,00:06:25,21.2,57.9
2025-06-05,00:06:55,21.2,57.9
2025-06-05,00:07:25,21.2,57.9
2025-06-05,00:07:55,21.2,57.9
2025-06-05,00:08:25,21.2,57.9
2025-06-05,00:08:55,21.2,57.9
2025-06-05,00:09:25,21.2,57.9
2025-06-05,00:09:55,21.2,57.9
2025-06-05,00:10:25,21.2,57.9
2025-06-05,00:10:55,21.2,57.9
2025-06-05,00:11:25,21.2,57.9
2025-06-05,00:11:55,21.2,57.9
2025-06-05,00:12:25,21.2,57.9
2025-06-05,00:12:55,21.2,57.9
2025-06-05,00:13:25,21.2,57.9
2025-06-05,00:13:55,21.2,57.9
2025-06-05,00:14:25,21.2,57.9
2025-06-05,00:14:55,21.2,57.9
2025-06-05,00:15:25,21.2,57.9
2025-06-05,00:15:55,21.2,57.9
2025-06-05,00:16:25,21.2,58.0
2025-06-05,00:16:55,21.2,57.9
2025-06-05,00:17:25,21.2,57.9
2025-06-05,00:17:57,21.2,57.9
2025-06-05,00:18:25,21.3,57.9
2025-06-05,00:18:55,21.2,57.9
2025-06-05,00:19:25,21.2,58.0
2025-06-05,00:19:55,21.3,57.9
