date,time,temperature,humidity
2025-02-23,00:00:43,25.4,29.5
2025-02-23,00:01:43,25.5,29.3
2025-02-23,00:02:41,25.5,30.2
2025-02-23,00:03:43,25.3,29.2
2025-02-23,00:04:41,25.3,30.0
2025-02-23,00:05:43,25.3,29.5
2025-02-23,00:06:41,25.2,30.4
2025-02-23,00:07:41,25.1,30.6
2025-02-23,00:08:41,25.0,30.8
2025-02-23,00:09:41,25.0,31.2
2025-02-23,00:10:41,25.1,31.2
2025-02-23,00:11:43,25.0,30.1
2025-02-23,00:12:41,25.0,31.2
2025-02-23,00:13:41,25.0,30.1
2025-02-23,00:14:43,25.1,30.0
2025-02-23,00:15:41,25.1,31.2
2025-02-23,00:16:41,25.2,30.1
2025-02-23,00:17:41,25.3,30.2
2025-02-23,00:18:41,25.3,31.2
2025-02-23,00:19:43,25.3,31.0
2025-02-23,00:20:41,25.3,31.0
2025-02-23,00:21:41,25.3,31.0
2025-02-23,00:22:41,25.4,30.0
2025-02-23,00:23:41,25.4,29.9
2025-02-23,00:24:43,25.4,29.9
2025-02-23,00:25:41,25.4,30.9
2025-02-23,00:26:41,25.4,29.7
2025-02-23,00:27:41,25.2,29.8
2025-02-23,00:28:43,25.1,29.9
2025-02-23,00:29:41,25.1,30.9
2025-02-23,00:30:43,25.2,30.0
2025-02-23,00:31:41,25.2,31.1
2025-02-23,00:32:43,25.1,31.2
2025-02-23,00:33:43,25.2,30.1
2025-02-23,00:34:43,25.1,30.2
2025-02-23,00:35:43,25.1,30.0
2025-02-23,00:36:43,25.1,29.9
2025-02-23,00:37:41,25.1,30.9
2025-02-23,00:38:41,25.0,29.8
2025-02-23,00:39:41,25.0,29.8
2025-02-23,00:40:41,25.1,31.1
2025-02-23,00:41:41,25.0,30.8
2025-02-23,00:42:41,25.0,31.2
2025-02-23,00:43:43,25.2,30.0
2025-02-23,00:44:41,25.2,31.2
2025-02-23,00:45:41,25.2,31.1
2025-02-23,00:46:41,25.2,31.5
2025-02-23,00:47:43,25.1,30.0
2025-02-23,00:48:41,25.1,31.2
2025-02-23,00:49:41,25.2,31.1
2025-02-23,00:50:41,25.2,30.0
2025-02-23,00:51:41,25.3,30.0
2025-02-23,00:52:41,25.3,31.1
2025-02-23,00:53:41,25.3,30.9
2025-02-23,00:54:41,25.2,30.9
2025-02-23,00:55:41,25.1,30.9
2025-02-23,00:56:41,24.9,29.9
2025-02-23,00:57:43,25.0,30.0
2025-02-23,00:58:43,25.0,29.9
2025-02-23,00:59:43,24.9,30.7
2025-02-23,01:00:43,24.8,29.7
2025-02-23,01:01:41,24.8,30.7
2025-02-23,01:02:41,24.7,29.8
